trade_id,item_name,num_items,bid_price,buyout_price,steam_price
147,Aviator Sunglasses,3,5.13,12.18,15.45
147,Leather Boots (Brown),4,7.64,13.76,17.44
147,Biker Key,2,9.26,10.64,17.68
169,Punk Knuckle Gloves (Red),1,9.17,13.77,16.88
169,Militia Crate,2,5.26,10.90,16.42
347,Horn-rimmed Glasses (Black),3,6.27,12.72,17.37
347,Leather Boots (Brown),5,9.55,17.20,21.80
347,Training Pants (Light Blue),4,8.00,13.32,16.88
347,Biker Key,3,13.89,15.96,26.52
364,Leather Boots (Brown),2,3.82,6.88,8.72
364,Triumph Key,3,8.64,11.13,16.11
381,Leather Hoodie (Black),4,6.56,11.72,19.16
381,Striped Shirt (Gray),2,9.82,13.74,16.60
405,Leather Hoodie (Black),1,1.64,2.93,4.79
405,Militia Crate,2,5.26,10.90,16.42
405,Wanderer Crate,5,8.60,15.00,16.90
452,Cloth Mask (Leopard),5,7.35,10.80,18.00
452,Horn-rimmed Glasses (Brown),4,8.00,13.92,18.12
453,Desperado Key,4,6.36,13.24,17.32
453,Sleeveless Turtleneck Top (Gray),3,7.47,14.04,15.57
545,Sleeveless Turtleneck Top (Gray),3,7.47,14.04,15.57
571,Leather Boots (Brown),4,7.64,13.76,17.44
580,Wanderer Key,5,7.75,10.10,19.80
688,Checkered Jacket,5,6.20,13.85,16.70
688,Training Pants (Light Blue),2,4.00,6.66,8.44
688,Striped Shirt (Gray),2,9.82,13.74,16.60
688,Triumph Crate,3,6.54,12.54,16.23
710,Striped Shirt (Gray),3,14.73,20.61,24.90
710,Long-sleeved Leather Shirt,3,7.95,10.44,15.69
711,Leather Hoodie (Black),2,3.28,5.86,9.58
798,Punk Knuckle Gloves (Red),2,18.34,27.54,33.76
810,Wanderer Key,5,7.75,10.10,19.80
812,Wide Pants (Red),1,7.47,10.29,16.25
960,Sleeveless Turtleneck Top (Gray),4,9.96,18.72,20.76
964,Wide Pants (Red),4,29.88,41.16,65.00
964,Checkered Jacket,4,4.96,11.08,13.36
964,Biker Crate,4,6.64,12.36,17.88
994,Desperado Key,2,3.18,6.62,8.66
994,Long Leather Boots (Brown),1,9.82,11.25,16.81